task,component,frames,mean_ms,std_ms,median_ms,p90_ms,p95_ms
task1,dino,200,237.51574915018864,4.956313718405327,237.37805301789194,239.03063101461157,239.69747716910206
task1,clip,200,0.0009828375186771154,0.0001724984403357735,0.0009554787538945675,0.0011736061424016953,0.0012991135008633137
task1,filter_state,200,3.519990918575786,0.18632460049136607,3.459327097516507,3.816609620116651,3.9138742722570896
task1,localizer,200,241.0606395918131,4.992652318528599,240.8696939945221,242.74282523393632,243.4496375977993
task1,policy,200,0.4932314234972,0.0898570513305927,0.46135950088500977,0.6310210347175598,0.6593120336532591
task1,total,200,245.77565541625023,5.069300479358613,245.61390900611877,247.7139014840126,248.39262266159056
task3,dino,200,238.6704004916828,5.082631008004572,238.07720752665773,240.69335920503363,241.22769729583524
task3,clip,200,0.0012664345558732748,0.00015906145130183607,0.0012395321391522884,0.0014981254935264587,0.0015635450836271045
task3,filter_state,200,0.025224207784049213,0.00609459607547437,0.02396258059889078,0.02740025520324707,0.02885885769501328
task3,localizer,200,238.72826924443245,5.082812864925052,238.1315220594406,240.7509776353836,241.3120434165001
task3,policy,200,0.37380252182483675,0.03189633675315594,0.36864298582077026,0.41406842470169064,0.4401577949523925
task3,total,200,243.2559969562292,5.32896299791105,242.62452745437622,245.2886096358299,245.96411475539207
combined,dino,400,238.09307482093573,5.046788729638068,237.68783744890243,240.1144459610805,240.704208239913
combined,clip,400,0.0011246360372751951,0.00021821170617000157,0.0011344673112034798,0.0014061573892831802,0.0015125027857720848
combined,filter_state,400,1.7726075631799176,1.7545183220740184,1.6776869888417423,3.67416855879128,3.81583475973457
combined,localizer,400,239.89445441812276,5.165323539217222,239.56985193490982,242.17777889966965,242.92906832098961
combined,policy,400,0.43351697266101835,0.09005105463507063,0.4158569574356079,0.5443214416503906,0.6307545363903043
combined,total,400,244.5158261862397,5.345202101807682,243.97398906946182,246.94968576431273,247.7989979863167
