task,component,frames,mean_ms,std_ms,median_ms,p90_ms,p95_ms
task1,build_image,1000,0.003557226061820984,0.0010144168658155139,0.0033190250396728516,0.004703831672668457,0.004988270998001099
task1,dino,1000,47.50314983003773,95.0795748030783,0.0,237.3662130208686,238.23798992671072
task1,clip,1000,0.0001965675037354231,0.000400795656075222,0.0,0.0009550596587359905,0.001102039823308587
task1,filter_state,1000,0.7039981837151572,1.411153350620986,0.0,3.457954281475395,3.60358523321338
task1,localizer,1000,48.22350504100323,96.49254542727658,0.014388501644134521,240.86555390357972,241.92697779536246
task1,tensor,1000,0.020032727718353273,0.007725944046750717,0.017066478729248047,0.03020765781402588,0.036197662353515625
task1,policy,1000,0.38067336118221284,0.08086769833296052,0.35435450077056885,0.4796472430229187,0.5323684513568875
task1,env_step,1000,3.0745599732398987,1.0111450944614715,2.8216750621795654,4.228021061420441,4.533131790161132
task1,total,1000,51.70368597209453,97.11435624352927,3.216705024242401,245.60921301841736,246.76516256332397
task3,build_image,1000,0.0036402034759521486,0.0014749362505326405,0.003322422504425049,0.004876983165740967,0.005206626653671264
task3,dino,1000,47.73408009833656,95.5428639126807,0.0,238.07068477617577,239.51090723276138
task3,clip,1000,0.00025328691117465496,0.0005117751066260563,0.0,0.0012391130439937115,0.0013391079846769571
task3,filter_state,1000,0.005044841556809843,0.010454792402566266,0.0,0.02395410556346178,0.025115552125498652
task3,localizer,1000,47.757145553827286,95.56027133471318,0.014509499073028564,238.12552764415742,239.56868276000023
task3,tensor,1000,0.01717186665534973,0.0070474598488273225,0.015187978744506836,0.027606141567230225,0.030811733007431022
task3,policy,1000,0.3581039410829544,0.04492762521024604,0.34945905208587646,0.40895503759384155,0.44000934958457943
task3,env_step,1000,3.056591720819473,1.1754544699179865,2.814566493034363,4.069626343250275,4.35411108136177
task3,total,1000,51.193901636481286,96.11189518523847,3.219649076461792,242.59605588912964,243.9564101755619
combined,build_image,2000,0.003598714768886566,0.0012661595136094265,0.003319978713989258,0.0047803521156311035,0.005105119943618774
combined,dino,2000,47.618614964187145,95.2877280674077,0.0,237.6848978223279,238.7080892571248
combined,clip,2000,0.00022492720745503902,0.0004604068238019069,0.0,0.0011340947821736338,0.0012600095942616463
combined,filter_state,2000,0.3545215126359835,1.057084891173758,0.0,0.39687895914583377,3.457782679470256
combined,localizer,2000,47.990325297415254,96.0038011727757,0.01444697380065918,239.56881266832352,241.13506959080695
combined,tensor,2000,0.0186022971868515,0.007529824237542828,0.015990018844604492,0.028999102115631108,0.03261166214942932
combined,policy,2000,0.3693886511325836,0.06636494455748781,0.3513365387916565,0.44519066810607916,0.49166491627693176
combined,env_step,2000,3.065575847029686,1.0961447138886538,2.818453013896942,4.153031933307648,4.463270872831345
combined,total,2000,51.44879380428791,96.5905936748749,3.218347430229187,243.9659802556038,245.91222940683366
